Trend Age;Trend Temperature;Trend Temperature (long)
84.7;17.11;16.96
84.8;16.83;16.91
84.9;16.44;16.86
85.0;15.98;16.81
85.1;15.54;16.75
85.2;15.26;16.70
85.3;15.24;16.65
85.4;15.49;16.60
85.5;15.93;16.54
85.6;16.41;16.49
85.7;16.80;16.44
85.8;17.02;16.38
85.9;17.09;16.33
86.0;17.14;16.27
86.1;17.17;16.22
86.2;17.20;16.17
86.3;17.22;
86.4;;16.06
86.5;;16.01
86.6;;15.95
86.7;;15.90
86.8;;15.85
86.9;;15.80
87.0;;15.74
87.1;;15.69
87.2;;15.64
87.3;;
87.4;15.86;15.54
87.5;15.85;15.49
87.6;15.79;15.44
87.7;15.69;15.39
87.8;15.56;15.34
87.9;15.41;15.31
88.0;15.22;15.29
88.1;14.97;15.28
88.2;14.75;15.28
88.3;14.59;15.28
88.4;14.47;15.29
88.5;14.39;15.29
88.6;14.34;15.30
88.7;14.31;15.30
88.8;;
88.9;;15.30
89.0;;15.29
89.1;;15.29
89.2;;15.28
89.3;;15.28
89.4;;15.28
89.5;;15.29
89.6;;15.29
89.7;;15.30
89.8;;15.31
89.9;;15.33
90.0;;15.35
90.1;;15.36
90.2;;15.37
90.3;;15.37
90.4;;15.36
90.5;;15.36
90.6;;15.35
90.7;;15.37
90.8;;
90.9;15.59;15.40
91.0;15.63;15.41
91.1;15.63;15.43
91.2;15.58;15.45
91.3;15.52;15.48
91.4;15.46;15.53
91.5;15.36;15.60
91.6;15.32;15.67
91.7;15.47;15.76
91.8;15.54;15.84
91.9;15.77;15.92
92.0;15.95;15.99
92.1;16.11;16.05
92.2;16.30;16.11
92.3;16.25;16.16
92.4;16.16;16.21
92.5;16.02;16.26
92.6;15.90;16.31
92.7;15.84;16.36
92.8;15.87;16.40
92.9;15.96;16.45
93.0;16.15;16.49
93.1;16.59;16.53
93.2;17.21;16.49
93.3;17.82;16.43
93.4;18.29;16.36
93.5;18.49;16.28
93.6;18.53;16.19
93.7;18.58;16.09
93.8;18.64;15.98
93.9;18.68;15.86
94.0;18.69;15.73
94.1;18.67;15.59
94.2;13.41;15.44
94.3;13.38;15.28
94.4;13.36;15.11
94.5;13.35;14.92
94.6;13.35;14.73
94.7;13.36;14.53
94.8;13.38;14.33
94.9;13.41;14.12
95.0;13.41;13.93
95.1;13.39;13.75
95.2;13.37;13.58
95.3;13.36;13.44
95.4;13.37;13.31
95.5;13.11;13.21
95.6;12.16;13.14
