AZ_order,Filename,Tip_Label,Final_name,Superorder,Order,Order_colour,Family,Collection,Specimen,Scan Location,Status,Geologic Age,Habitat,Locomotion,Diet,Social,Activity,Development
85,Delphinus_delphis,Delphinus_delphis,Delphinus_delphis,Laurasiatheria,Cetacea,#0000CC,Delphinidae,AMNH,35401,Morphosource,Extant,Recent,Aquatic,Aquatic,Piscivore,Social,All,Precocial
86,Deomys_ferrugineus,Deomys_ferrugineus,Deomys_ferrugineus,Euarchontaglires,Rodentia,#A1D99B,Muridae,MNHN,1622,Phenome10K,Extant,Recent,Closed,Terrestrial,Social insectivore,Solitary,Crepuscular,
87,Desmocyon_matthewii,Desmocyon_matthewsi,Desmocyon_matthewii,Laurasiatheria,Carnivora,#33CCFF,Canidae,AMNH,F:AM 49177,Morphosource,Extinct,Miocene,,Terrestrial,Carnivore,,,
88,Diaemus_youngi,Diaemus_youngi,Diaemus_youngi,Laurasiatheria,Chiroptera,#FF00FF,Phyllostomidae,AMNH,M-246230,Morphosource,Extant,Recent,Closed,Volant,Carnivore,Social,Nocturnal,Altricial
89,Diceros_bicornis,Diceros_bicornis,Diceros_bicornis,Laurasiatheria,Perissodactyla,#669999,Rhinocerotidae,NHMUK ZD,1933.5.5.1,Phenome10K,Extant,Recent,Mixed_terrestrial,Terrestrial,Herbivore,Solitary,Diurnal,Precocial
90,Dinictis_squalidens,Dinictis_squalidens,Dinictis_squalidens,Laurasiatheria,Carnivora,#33CCFF,Nimravidae,YPM,VPPU.013587,Phenome10K,Extinct,Oligocene,,Terrestrial,Carnivore,,,
91,Diplacodon_progressum,Diplacodon_progressum,Diplacodon_progressum,Laurasiatheria,Perissodactyla,#669999,Brontotheriidae,FMNH,P14633,Morphosource,Extinct,Eocene,,Terrestrial,Herbivore,,,
92,Dipodomys_ordii,Dipodomys_ordii,Dipodomys_ordii,Euarchontaglires,Rodentia,#A1D99B,Heteromyidae,UMN,8327,Phenome10K,Extant,Recent,Open,Semi-fossorial,Herbivore,Solitary,Nocturnal,Altricial
93,Dobsonia_moluccensis,Dobsonia_moluccensis,Dobsonia_moluccensis,Laurasiatheria,Chiroptera,#FF00FF,Pteropodidae,AMNH,M-159572,Morphosource,Extant,Recent,Closed,Volant,Herbivore,Social,Nocturnal,Altricial
94,Dolichotis_patagonum,Dolichotis_patagonum,Dolichotis_patagonum,Euarchontaglires,Rodentia,#A1D99B,Caviidae,NHMUK ZD,2003.339,Phenome10K,Extant,Recent,Desert,Terrestrial,Herbivore,Social,Diurnal,Precocial
95,Dorudon_atrox,Dorudon_atrox,Dorudon_atrox,Laurasiatheria,Cetacea,#0000CC,Basilosauridae,UMMP PVM,118139,Phenome10K,Extinct,Eocene,Aquatic,Aquatic,Carnivore,,,
96,Duchesneodus_uintensis,Duchesneodus_uintensis,Duchesneodus_uintensis,Laurasiatheria,Perissodactyla,#669999,Brontotheriidae,FMNH,PM136,Morphosource,Extinct,Eocene,,Terrestrial,Herbivore,,,
97,Dugong_sp,Dugong_dugon,Dugong dugon,Afrotheria,Sirenia,#B30000,Dugongidae,LDUCZ,NON434,Phenome10K,Extant,Recent,Aquatic,Aquatic,Herbivore,Social,Diurnal,Precocial
98,Dusisiren_jordani,Dusisiren_jordani,Dusisiren_jordani,Afrotheria,Sirenia,#B30000,Dugongidae,UCMP,3794,Morphosource and Phenome10K,Extinct,Miocene,,Aquatic,Herbivore,,,
99,Echinoprocta_rufescens,Coendou_rufescens,Coendou_rufescens,Euarchontaglires,Rodentia,#A1D99B,Erethizontidae,NHMUK ZD,1927.5.3.8,Phenome10K,Extant,Recent,Closed,Arboreal,Herbivore,Solitary,Nocturnal,Precocial
100,Echinosorex_gymnura,Echinosorex_gymnura,Echinosorex_gymnura,Laurasiatheria,Eulipotyphla,#00FFFF,Erinaceidae,NHMUK ZD,1961.1157,Phenome10K,Extant,Recent,Closed,Terrestrial,Omnivore,Solitary,Nocturnal,Altricial
101,Elasmotherium_sp,Elasmotherium_sp,Elasmotherium_sp,Laurasiatheria,Perissodactyla,#669999,Rhinocerotidae,NHMUK PV M,12429,Phenome10K,Extinct,Pliocene,,Terrestrial,Herbivore,,,
102,Elephas_maximus,Elephas_maximus,Elephas_maximus,Afrotheria,Proboscidea,#FC8D59,Elephantidae,TMM,M-6445,Digimorph,Extant,Recent,Mixed_terrestrial,Terrestrial,Herbivore,Social,All,Precocial
103,Eleutherocercus_tucumanus,Eleutherocercus_tucumanus,Eleutherocercus_tucumanus,Xenarthra,Cingulata,#666666,Glyptodontidae,FMNH,P14437,Morphosource,Extinct,Miocene,,Terrestrial,Omnivore,,,
104,Elotherium_sp,Elotherium_sp,Entelodon_sp,Laurasiatheria,Artiodactyla,#6699FF,Entelodontidae,AMNH,FM 571,Morphosource,Extinct,Oligocene,,Terrestrial,Herbivore,,,
105,Entoptychus_sp,Entoptychus_sp,Entoptychus_wheelerensis,Euarchontaglires,Rodentia,#A1D99B,Geomyidae,UCMP,151251,Morphosource and Phenome10K,Extinct,Oligocene,,Fossorial,Herbivore,,,
106,Epimanteoceras_formosus,Epimanteoceras_formusus,Epimanteoceras_formosus,Laurasiatheria,Perissodactyla,#669999,Brontotheriidae,AMNH,FM 21613,Morphosource,Extinct,Eocene,,Terrestrial,Herbivore,,,
107,Eporeodon_meagherensis,Eporeodon_meagherensis,Eporeodon_meagherensis,Laurasiatheria,Artiodactyla,#6699FF,Merycoidodontidae,YPM,VP.013948,Phenome10K,Extinct,Oligocene,,Terrestrial,Herbivore,,,
108,Equus_caballus,Equus_caballus,Equus_caballus,Laurasiatheria,Perissodactyla,#669999,Equidae,LDUCZ,z.3062,Phenome10K,Extant,Recent,Open,Terrestrial,Herbivore,Social,Crepuscular,Precocial
109,Erethizon_dorsatum,Erethizon_dorsatum,Erethizon_dorsatum,Euarchontaglires,Rodentia,#A1D99B,Erethizontidae,NHMUK ZD,1936.11.6.21,Phenome10K,Extant,Recent,Closed,Arboreal,Herbivore,Social,Nocturnal,Precocial
110,Erinaceus_europaens,Erinaceus_europaeus,Erinaceus_europaeus,Laurasiatheria,Eulipotyphla,#00FFFF,Erinaceidae,LDUCZ,z.3067,Phenome10K,Extant,Recent,Open,Semi-fossorial,Invertivore,Solitary,Nocturnal,Precocial
111,Eschrichtius_robustus,Eschrichtius_robustus,Eschrichtius_robustus,Laurasiatheria,Cetacea,#0000CC,Eschrichtiidae,USNM,13803,Phenome10K,Extant,Recent,Aquatic,Aquatic,Bulk invertivore,Social,All,Precocial
